beginrecord,icode,title,citation,contact,dwca,email,eml,emlrights,gbifdatasetid,gbifpublisherid,iptlicense,migrator,networks,orgcountry,orgname,orgstateprovince,pubdate,source_url,url,id,associatedmedia,associatedoccurrences,associatedorganisms,associatedreferences,associatedsequences,associatedtaxa,bed,behavior,catalognumber,continent,coordinateprecision,coordinateuncertaintyinmeters,country,countrycode,county,dateidentified,day,decimallatitude,decimallongitude,disposition,earliestageorloweststage,earliesteonorlowesteonothem,earliestepochorlowestseries,earliesteraorlowesterathem,earliestperiodorlowestsystem,enddayofyear,establishmentmeans,eventdate,eventid,eventremarks,eventtime,fieldnotes,fieldnumber,footprintspatialfit,footprintsrs,footprintwkt,formation,geodeticdatum,geologicalcontextid,georeferencedby,georeferenceddate,georeferenceprotocol,georeferenceremarks,georeferencesources,georeferenceverificationstatus,group,habitat,highergeography,highergeographyid,highestbiostratigraphiczone,identificationid,identificationqualifier,identificationreferences,identificationremarks,identificationverificationstatus,identifiedby,individualcount,island,islandgroup,latestageorhigheststage,latesteonorhighesteonothem,latestepochorhighestseries,latesteraorhighesterathem,latestperiodorhighestsystem,lifestage,lithostratigraphicterms,locality,locationaccordingto,locationid,locationremarks,lowestbiostratigraphiczone,materialsampleid,maximumdepthinmeters,maximumdistanceabovesurfaceinmeters,maximumelevationinmeters,member,minimumdepthinmeters,minimumdistanceabovesurfaceinmeters,minimumelevationinmeters,month,municipality,occurrenceid,occurrenceremarks,occurrencestatus,organismid,organismname,organismremarks,organismscope,othercatalognumbers,pointradiusspatialfit,preparations,previousidentifications,recordedby,recordnumber,reproductivecondition,samplingeffort,samplingprotocol,sex,startdayofyear,stateprovince,typestatus,verbatimcoordinates,verbatimcoordinatesystem,verbatimdepth,verbatimelevation,verbatimeventdate,verbatimlatitude,verbatimlocality,verbatimlongitude,verbatimsrs,waterbody,year,type,modified,language,license,rightsholder,accessrights,bibliographiccitation,dc_references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,scientificname,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.202,,,,,,,,,VP.202,North America,,,United States,US,Baylor,,26,,,,,,,,,178,native,1964-06-26,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Texas;Baylor County;;;;,,,,,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,6,,,,present,,,,,,,"tooth, mandible",,Richard J. Seltin,,,,,,178,Texas,,,,,,,,North and Central America; United States; Texas; Baylor County; ; ; ;,,,,1964,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Amphibia,,,,,,,Animalia:Chordata:Amphibia:::,Animalia,Chordata,Amphibia,,,,,,,class,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.1141,,,,,,,,,VP.1141,North America,,,United States,US,Brown,,1,,,,,,,,,1,native,1977-01-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Nebraska;Brown County;;;;,,,,sp.,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,1,,,,present,,,,,,,miscellaneous fragments,,J. Alan Holman,,,,,,1,Nebraska,,,,,,,,North and Central America; United States; Nebraska; Brown County; ; ; ;,,,,1977,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Rana,,,,,,,Animalia:Chordata:Amphibia:Salientia:Ranidae:Rana,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,,,genus,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.1368,,,,,,,,,VP.1368,North America,,,United States,US,Knox,,1,,,,,,,,,214,native,1976-08-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Nebraska;Knox County;;;;,,,,sp.,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,8,,,,present,,,,,,,vertebra,,Alisa Griggs,,,,,,214,Nebraska,,,,,,,,North and Central America; United States; Nebraska; Knox County; ; ; ;,,,,1976,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Ambystoma,,,,,,,Animalia:Chordata:Amphibia:Caudata:Ambystomatidae:Ambystoma,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,,,,genus,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.314,,,,,,,,,VP.314,North America,,,United States,US,Trego,,1,,,,,,,,,213,native,1969-08-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Kansas;Trego County;;;;,,,,sp.,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,8,,,,present,,,,,,,ilium,,,,,,,,213,Kansas,,,,,,,,North and Central America; United States; Kansas; Trego County; ; ; ;,,,,1969,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Rana,,,,,,,Animalia:Chordata:Amphibia:Salientia:Ranidae:Rana,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,,,genus,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.1495,,,,,,,,,VP.1495,North America,,,United States,US,Baylor,,1,,,,,,,,,1,native,1966-01-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Texas;Baylor County;;;;,,,,,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,1,,,,present,,,,,,,miscellaneous fragments,,Richard J. Seltin,,,,,,1,Texas,,,,,,,,North and Central America; United States; Texas; Baylor County; ; ; ;,,,,1966,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Amphibia,,,,,,,Animalia:Chordata:Amphibia:::,Animalia,Chordata,Amphibia,,,,,,,class,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.1505,,,,,,,,,VP.1505,North America,,,United States,US,Baylor,,1,,,,,,,,,1,native,1962-01-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Texas;Baylor County;;;;,,,,,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,1,,,,present,,,,,,,skull,,Richard J. Seltin,,,,,,1,Texas,,,,,,,,North and Central America; United States; Texas; Baylor County; ; ; ;,,,,1962,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Amphibia,,,,,,,Animalia:Chordata:Amphibia:::,Animalia,Chordata,Amphibia,,,,,,,class,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.752,,,,,,,,,VP.752,North America,,,United States,US,Trego,,1,,,,,,,,,1,native,1969-01-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Kansas;Trego County;;;;,,,,sp.,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,1,,,,present,,,,,,,vertebra,,,,,,,,1,Kansas,,,,,,,,North and Central America; United States; Kansas; Trego County; ; ; ;,,,,1969,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Ambystoma,,,,,,,Animalia:Chordata:Amphibia:Caudata:Ambystomatidae:Ambystoma,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,,,,genus,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.353,,,,,,,,,VP.353,North America,,,United States,US,Trego,,,,,,,,,,,,native,,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Kansas;Trego County;;;;,,,,,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,,,,,present,,,,,,,ilium,,,,,,,,,Kansas,,,,,,,,North and Central America; United States; Kansas; Trego County; ; ; ;,,,,,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Hylidae,,,,,,,Animalia:Chordata:Amphibia:Anura:Hylidae:,Animalia,Chordata,Amphibia,Anura,Hylidae,,,,,family,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.1510,,,,,,,,,VP.1510,North America,,,United States,US,Baylor,,1,,,,,,,,,1,native,1962-01-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Texas;Baylor County;;;;,,,,,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,1,,,,present,,,,,,,"skull, miscellaneous fragments",,Richard J. Seltin,,,,,,1,Texas,,,,,,,,North and Central America; United States; Texas; Baylor County; ; ; ;,,,,1962,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Amphibia,,,,,,,Animalia:Chordata:Amphibia:::,Animalia,Chordata,Amphibia,,,,,,,class,,,,ICZN,,,
begin,MSU,"MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections",Laura Abraczinskas,http://ipt.vertnet.org:8080/ipt/archive.do?r=msu_mammals_birds_vertpaleo,abraczi1@msu.edu,http://ipt.vertnet.org:8080/ipt/eml.do?r=msu_mammals_birds_vertpaleo,http://creativecommons.org/publicdomain/zero/1.0,22a66350-7947-4a49-84a3-39c7c1b0881f,311e2740-f15a-11d8-b22f-b8a03c50a862,CC0,2014-07-24,"MaNIS,ORNIS,VertNet,Paleo",United States,Michigan State University Museum,Michigan,Thu Jul 31 00:00:00 UTC 2014,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,http://ipt.vertnet.org:8080/ipt/resource.do?r=msu_mammals_birds_vertpaleo,urn:catalog:MSU:VP:VP.753,,,,,,,,,VP.753,North America,,,United States,US,Trego,,1,,,,,,,,,1,native,1973-01-01,,,,,,,,,,,,,,,,,,,,North and Central America;United States;Kansas;Trego County;;;;,,,,sp.,,,,,1,,,,,,,,,,unspecified,,,,,,,,,,,,,1,,,,present,,,,,,,ilium,,,,,,,,1,Kansas,,,,,,,,North and Central America; United States; Kansas; Trego County; ; ; ;,,,,1973,PhysicalObject,2014-07-31,en,,,,,,http://grbio.org/cool/53w1-8r3k,http://grbio.org/cool/8gz0-hh8w,,MSU,VP,,,FossilSpecimen,,,,,,,,,,,,Scaphiopus,,,,,,,Animalia:Chordata:Amphibia:Anura:Pelobatidae:Scaphiopus,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,,,,genus,,,,ICZN,,,
